avg_option,accuracy,precision,recall,f1_score
micro,0.8019749290444654,0.8019749290444654,0.8019749290444654,0.8019749290444654
macro,0.8019749290444654,0.6670592543622538,0.7279007558062831,0.6859195146338767
weighted,0.8019749290444654,0.8423369838006691,0.8019749290444654,0.817075943214878
binary,0.8019749290444654,0.41191233060063576,0.6200730386601184,0.49499874340286504
